Datation;Date_Format_1;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
29/08/2022;20220829;Lundi;Août;S35;2022;2022-Sem35;2022 - T3
30/08/2022;20220830;Mardi;Août;S35;2022;2022-Sem35;2022 - T3
31/08/2022;20220831;Mercredi;Août;S35;2022;2022-Sem35;2022 - T3
01/09/2022;20220901;Jeudi;Septembre;S35;2022;2022-Sem35;2022 - T3
02/09/2022;20220902;Vendredi;Septembre;S35;2022;2022-Sem35;2022 - T3
03/09/2022;20220903;Samedi;Septembre;S35;2022;2022-Sem35;2022 - T3
04/09/2022;20220904;Dimanche;Septembre;S35;2022;2022-Sem35;2022 - T3
05/09/2022;20220905;Lundi;Septembre;S36;2022;2022-Sem36;2022 - T3
06/09/2022;20220906;Mardi;Septembre;S36;2022;2022-Sem36;2022 - T3
07/09/2022;20220907;Mercredi;Septembre;S36;2022;2022-Sem36;2022 - T3
08/09/2022;20220908;Jeudi;Septembre;S36;2022;2022-Sem36;2022 - T3
09/09/2022;20220909;Vendredi;Septembre;S36;2022;2022-Sem36;2022 - T3
10/09/2022;20220910;Samedi;Septembre;S36;2022;2022-Sem36;2022 - T3
11/09/2022;20220911;Dimanche;Septembre;S36;2022;2022-Sem36;2022 - T3
12/09/2022;20220912;Lundi;Septembre;S37;2022;2022-Sem37;2022 - T3
13/09/2022;20220913;Mardi;Septembre;S37;2022;2022-Sem37;2022 - T3
14/09/2022;20220914;Mercredi;Septembre;S37;2022;2022-Sem37;2022 - T3
15/09/2022;20220915;Jeudi;Septembre;S37;2022;2022-Sem37;2022 - T3
16/09/2022;20220916;Vendredi;Septembre;S37;2022;2022-Sem37;2022 - T3
17/09/2022;20220917;Samedi;Septembre;S37;2022;2022-Sem37;2022 - T3
18/09/2022;20220918;Dimanche;Septembre;S37;2022;2022-Sem37;2022 - T3
19/09/2022;20220919;Lundi;Septembre;S38;2022;2022-Sem38;2022 - T3
20/09/2022;20220920;Mardi;Septembre;S38;2022;2022-Sem38;2022 - T3
21/09/2022;20220921;Mercredi;Septembre;S38;2022;2022-Sem38;2022 - T3
22/09/2022;20220922;Jeudi;Septembre;S38;2022;2022-Sem38;2022 - T3
23/09/2022;20220923;Vendredi;Septembre;S38;2022;2022-Sem38;2022 - T3
24/09/2022;20220924;Samedi;Septembre;S38;2022;2022-Sem38;2022 - T3
25/09/2022;20220925;Dimanche;Septembre;S38;2022;2022-Sem38;2022 - T3
26/09/2022;20220926;Lundi;Septembre;S39;2022;2022-Sem39;2022 - T3
27/09/2022;20220927;Mardi;Septembre;S39;2022;2022-Sem39;2022 - T3
28/09/2022;20220928;Mercredi;Septembre;S39;2022;2022-Sem39;2022 - T3
29/09/2022;20220929;Jeudi;Septembre;S39;2022;2022-Sem39;2022 - T3
30/09/2022;20220930;Vendredi;Septembre;S39;2022;2022-Sem39;2022 - T3
01/10/2022;20221001;Samedi;Octobre;S39;2022;2022-Sem39;2022 - T4
02/10/2022;20221002;Dimanche;Octobre;S39;2022;2022-Sem39;2022 - T4
03/10/2022;20221003;Lundi;Octobre;S40;2022;2022-Sem40;2022 - T4
04/10/2022;20221004;Mardi;Octobre;S40;2022;2022-Sem40;2022 - T4
05/10/2022;20221005;Mercredi;Octobre;S40;2022;2022-Sem40;2022 - T4
06/10/2022;20221006;Jeudi;Octobre;S40;2022;2022-Sem40;2022 - T4
07/10/2022;20221007;Vendredi;Octobre;S40;2022;2022-Sem40;2022 - T4
08/10/2022;20221008;Samedi;Octobre;S40;2022;2022-Sem40;2022 - T4
09/10/2022;20221009;Dimanche;Octobre;S40;2022;2022-Sem40;2022 - T4
10/10/2022;20221010;Lundi;Octobre;S41;2022;2022-Sem41;2022 - T4
11/10/2022;20221011;Mardi;Octobre;S41;2022;2022-Sem41;2022 - T4
12/10/2022;20221012;Mercredi;Octobre;S41;2022;2022-Sem41;2022 - T4
13/10/2022;20221013;Jeudi;Octobre;S41;2022;2022-Sem41;2022 - T4
14/10/2022;20221014;Vendredi;Octobre;S41;2022;2022-Sem41;2022 - T4
15/10/2022;20221015;Samedi;Octobre;S41;2022;2022-Sem41;2022 - T4
16/10/2022;20221016;Dimanche;Octobre;S41;2022;2022-Sem41;2022 - T4
17/10/2022;20221017;Lundi;Octobre;S42;2022;2022-Sem42;2022 - T4
18/10/2022;20221018;Mardi;Octobre;S42;2022;2022-Sem42;2022 - T4
19/10/2022;20221019;Mercredi;Octobre;S42;2022;2022-Sem42;2022 - T4
20/10/2022;20221020;Jeudi;Octobre;S42;2022;2022-Sem42;2022 - T4
21/10/2022;20221021;Vendredi;Octobre;S42;2022;2022-Sem42;2022 - T4
22/10/2022;20221022;Samedi;Octobre;S42;2022;2022-Sem42;2022 - T4
23/10/2022;20221023;Dimanche;Octobre;S42;2022;2022-Sem42;2022 - T4
24/10/2022;20221024;Lundi;Octobre;S43;2022;2022-Sem43;2022 - T4
25/10/2022;20221025;Mardi;Octobre;S43;2022;2022-Sem43;2022 - T4
26/10/2022;20221026;Mercredi;Octobre;S43;2022;2022-Sem43;2022 - T4
27/10/2022;20221027;Jeudi;Octobre;S43;2022;2022-Sem43;2022 - T4
28/10/2022;20221028;Vendredi;Octobre;S43;2022;2022-Sem43;2022 - T4
29/10/2022;20221029;Samedi;Octobre;S43;2022;2022-Sem43;2022 - T4
30/10/2022;20221030;Dimanche;Octobre;S43;2022;2022-Sem43;2022 - T4
31/10/2022;20221031;Lundi;Octobre;S44;2022;2022-Sem44;2022 - T4
01/11/2022;20221101;Mardi;Novembre;S44;2022;2022-Sem44;2022 - T4
02/11/2022;20221102;Mercredi;Novembre;S44;2022;2022-Sem44;2022 - T4
03/11/2022;20221103;Jeudi;Novembre;S44;2022;2022-Sem44;2022 - T4
04/11/2022;20221104;Vendredi;Novembre;S44;2022;2022-Sem44;2022 - T4
05/11/2022;20221105;Samedi;Novembre;S44;2022;2022-Sem44;2022 - T4
06/11/2022;20221106;Dimanche;Novembre;S44;2022;2022-Sem44;2022 - T4
07/11/2022;20221107;Lundi;Novembre;S45;2022;2022-Sem45;2022 - T4
08/11/2022;20221108;Mardi;Novembre;S45;2022;2022-Sem45;2022 - T4
09/11/2022;20221109;Mercredi;Novembre;S45;2022;2022-Sem45;2022 - T4
10/11/2022;20221110;Jeudi;Novembre;S45;2022;2022-Sem45;2022 - T4
11/11/2022;20221111;Vendredi;Novembre;S45;2022;2022-Sem45;2022 - T4
12/11/2022;20221112;Samedi;Novembre;S45;2022;2022-Sem45;2022 - T4
13/11/2022;20221113;Dimanche;Novembre;S45;2022;2022-Sem45;2022 - T4
14/11/2022;20221114;Lundi;Novembre;S46;2022;2022-Sem46;2022 - T4
15/11/2022;20221115;Mardi;Novembre;S46;2022;2022-Sem46;2022 - T4
16/11/2022;20221116;Mercredi;Novembre;S46;2022;2022-Sem46;2022 - T4
17/11/2022;20221117;Jeudi;Novembre;S46;2022;2022-Sem46;2022 - T4
18/11/2022;20221118;Vendredi;Novembre;S46;2022;2022-Sem46;2022 - T4
19/11/2022;20221119;Samedi;Novembre;S46;2022;2022-Sem46;2022 - T4
20/11/2022;20221120;Dimanche;Novembre;S46;2022;2022-Sem46;2022 - T4
21/11/2022;20221121;Lundi;Novembre;S47;2022;2022-Sem47;2022 - T4
22/11/2022;20221122;Mardi;Novembre;S47;2022;2022-Sem47;2022 - T4
23/11/2022;20221123;Mercredi;Novembre;S47;2022;2022-Sem47;2022 - T4
24/11/2022;20221124;Jeudi;Novembre;S47;2022;2022-Sem47;2022 - T4
25/11/2022;20221125;Vendredi;Novembre;S47;2022;2022-Sem47;2022 - T4
26/11/2022;20221126;Samedi;Novembre;S47;2022;2022-Sem47;2022 - T4
27/11/2022;20221127;Dimanche;Novembre;S47;2022;2022-Sem47;2022 - T4
28/11/2022;20221128;Lundi;Novembre;S48;2022;2022-Sem48;2022 - T4
