Datation;Flux;Activité ou Campagne;Prevision;Capacitaire;Presentes;Traites;DMT;QP;QS;QE
2023-02-04;Convergents + Mobile;ORANGE AC;3331,1111111111113;3205,142208;2839,0;2759,0;654,7884201449275;0,8522681787858571;0,9718210637548432;0,8282521681120747
2023-02-05;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-02-06;Convergents + Mobile;ORANGE AC;7054,444444444445;6246,561888;5879,0;5738,0;657,5561739130435;0,8333753346983777;0,9760163293077054;0,8133879351078909
2023-02-07;Convergents + Mobile;ORANGE AC;6124,444444444444;6084,988718;7931,0;7301,0;636,6283050701921;1,2949746008708274;0,9205648720211828;1,1921081277213352
2023-02-08;Convergents + Mobile;ORANGE AC;6281,111111111111;6225,409218;6047,0;5954,0;642,8713182122531;0,9627277551742437;0,9846204729617992;0,9479214576331151
2023-02-09;Convergents + Mobile;ORANGE AC;5705,555555555556;5508,980096;5337,0;5283,0;665,0611804565177;0,9354040895813047;0,9898819561551433;0,9259396299902629
2023-02-10;Convergents + Mobile;ORANGE AC;5771,111111111111;5390,909076;4979,0;4857,0;650,3481532416906;0,8627454755487101;0,9754970877686282;0,8416056988833269
2023-02-11;Convergents + Mobile;ORANGE AC;3598,888888888889;3399,245676;3913,0;3844,0;626,4406013734128;1,087280024698981;0,9823664707385638;1,0681074405680764
2023-02-12;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-02-13;Convergents + Mobile;ORANGE AC;7163,333333333334;6044,900255;7121,0;7035,0;608,6614297824243;0,9940902745463005;0,9879230445162196;0,9820846905537458
2023-02-14;Convergents + Mobile;ORANGE AC;6217,777777777778;5924,825506;6120,0;6093,0;590,9796896084829;0,9842744817726947;0,9955882352941177;0,9799320943531092
2023-02-15;Convergents + Mobile;ORANGE AC;6376,666666666667;5921,822893;6538,0;6472,0;575,0368860122699;1,0253005750130684;0,9899051697766901;1,0149503397804496
2023-02-16;Convergents + Mobile;ORANGE AC;5792,222222222223;5099,875342;7481,0;7064,0;569,5481471985469;1,2915595626318817;0,9442587889319609;1,2195664684442737
2023-02-17;Convergents + Mobile;ORANGE AC;5857,777777777777;4775,558672;6494,0;6266,0;588,5422130166271;1,1086115326251897;0,9648906683092086;1,0696889226100152
2023-02-18;Convergents + Mobile;ORANGE AC;3655,5555555555557;3023,561545;3457,0;3410,0;588,7663025058275;0,9456838905775076;0,986404396875904;0,9328267477203647
2023-02-19;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-02-20;Convergents + Mobile;ORANGE AC;7006,666666666667;5376,818769;6970,0;6906,0;586,576823292015;0,99476688867745;0,9908177905308465;0,9856327307326356
2023-02-21;Convergents + Mobile;ORANGE AC;6078,88888888889;5234,424991;6314,0;6247,0;573,0628238133037;1,0386766587461158;0,9893886601203674;1,0276549076951196
2023-02-22;Convergents + Mobile;ORANGE AC;6235,555555555556;5411,646702;6500,0;6409,0;593,2283246220303;1,0424091233071988;0,986;1,027815395580898
2023-02-23;Convergents + Mobile;ORANGE AC;5664,444444444444;4755,424745;6089,0;6034,0;596,7976179124136;1,0749509611612398;0,9909673181146329;1,0652412710867007
2023-02-24;Convergents + Mobile;ORANGE AC;5726,666666666667;4667,872351;6011,0;5960,0;583,422017222964;1,04965075669383;0,9915155548161704;1,0407450523864958
2023-02-25;Convergents + Mobile;ORANGE AC;3575,5555555555557;2955,381832;4065,0;3891,0;560,6411999491095;1,136886264760721;0,9571955719557196;1,0882224984462399
2023-02-26;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-02-27;Convergents + Mobile;ORANGE AC;7132,222222222223;5507,960691;7214,0;7116,0;573,1059706742825;1,0114659604299734;0,9864153035763793;0,9977255024147063
2023-02-28;Convergents + Mobile;ORANGE AC;6186,666666666667;5292,66616;6383,0;6341,0;570,5842540981037;1,0317349137931033;0,9934200219332602;1,024946120689655
2023-03-01;Convergents + Mobile;ORANGE AC;6526,666666666667;5509,902857;6925,0;6831,0;590,9040489719084;1,0610316649642493;0,9864259927797834;1,046629213483146
2023-03-02;Convergents + Mobile;ORANGE AC;5932,222222222222;4835,685079;5671,0;5576,0;595,4951130736393;0,9559655366173442;0,98324810439076;0,9399513017418993
2023-03-03;Convergents + Mobile;ORANGE AC;5994,444444444445;4746,988831;6105,0;6020,0;581,8082122015478;1,018443002780352;0,9860769860769861;1,0042632066728452
2023-03-04;Convergents + Mobile;ORANGE AC;3744,4444444444443;2967,904636;3337,0;3263,0;584,479993329272;0,891186943620178;0,9778243931675157;0,8714243323442137
2023-03-05;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-03-06;Convergents + Mobile;ORANGE AC;7165,555555555556;5277,843735;6894,0;6817,0;599,6945229221348;0,9621026515738874;0,9888308674209457;0,951356799503799
2023-03-07;Convergents + Mobile;ORANGE AC;6221,111111111111;5166,476962;8159,0;7751,0;566,1538987586383;1,3115020539382032;0,9499938717980144;1,245918914091802
2023-03-08;Convergents + Mobile;ORANGE AC;6380,000000000001;5351,181376;5637,0;5578,0;591,5307613352375;0,8835423197492162;0,9895334397729288;0,8742946708463949
2023-03-09;Convergents + Mobile;ORANGE AC;5793,333333333334;4674,049685;4802,0;4739,0;576,3764492984294;0,8288837744533947;0,9868804664723032;0,8180092059838895
2023-03-10;Convergents + Mobile;ORANGE AC;5856,666666666667;4507,44171;5547,0;5480,0;590,4965713430126;0,9471257825839499;0,9879213989543898;0,9356858281161069
2023-03-11;Convergents + Mobile;ORANGE AC;3655,5555555555557;2839,893747;4280,0;4125,0;566,2363666666666;1,1708206686930092;0,9637850467289719;1,128419452887538
2023-03-12;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-03-13;Convergents + Mobile;ORANGE AC;7096,666666666667;5281,555298;7090,0;6942,0;573,2612803161943;0,9990605918271489;0,9791255289139633;0,9782057303898544
2023-03-14;Convergents + Mobile;ORANGE AC;6157,777777777778;5155,556743;5818,0;5752,0;572,2886988798897;0,9448213641284734;0,9886558954967343;0,9341032118368819
2023-03-15;Convergents + Mobile;ORANGE AC;6317,777777777778;5289,456355;7436,0;6688,0;542,7396774808033;1,176996130847696;0,8994082840236687;1,0586000703482237
2023-03-16;Convergents + Mobile;ORANGE AC;5740,0;4658,443509;5477,0;5391,0;606,0121720213943;0,9541811846689896;0,984297973343071;0,939198606271777
2023-03-17;Convergents + Mobile;ORANGE AC;5804,444444444445;4592,05239;5544,0;5458,0;620,6331628004369;0,9551301684532923;0,9844877344877345;0,94031393568147
2023-03-18;Convergents + Mobile;ORANGE AC;3623,3333333333335;2880,940717;3067,0;3018,0;569,2901024752475;0,846458141674333;0,984023475709162;0,8329346826126954
2023-03-19;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-03-20;Convergents + Mobile;ORANGE AC;6711,111111111111;5472,082241;6183,0;6057,0;612,6467287704918;0,9213079470198675;0,9796215429403202;0,9025331125827815
2023-03-21;Convergents + Mobile;ORANGE AC;5825,555555555556;5380,027912;5486,0;5432,0;593,4022617259069;0,9417127598703032;0,990156762668611;0,9324432576769025
2023-03-22;Convergents + Mobile;ORANGE AC;5974,444444444444;5562,810018;5576,0;5467,0;607,1714649597659;0,9333085363585643;0,9804519368723099;0,915064162172215
2023-03-23;Convergents + Mobile;ORANGE AC;5431,111111111111;5242,560379;5867,0;5823,0;571,6945159656652;1,0802577741407529;0,9925004261121527;1,0721563011456627
2023-03-24;Convergents + Mobile;ORANGE AC;5488,888888888889;5167,844554;5068,0;5023,0;546,6766129898548;0,9233198380566802;0,9911207576953434;0,9151214574898786
2023-03-25;Convergents + Mobile;ORANGE AC;3426,666666666667;3271,930498;2969,0;2950,0;529,6305304303626;0,8664396887159532;0,9936005389019872;0,8608949416342412
2023-03-26;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-03-27;Convergents + Mobile;ORANGE AC;6943,333333333334;5400,829272;6060,0;5976,0;542,161238749582;0,8727796447431588;0,9861386138613861;0,8606817090734517
2023-03-28;Convergents + Mobile;ORANGE AC;6025,555555555556;5296,800457;6604,0;6239,0;544,6281152786676;1,0959985248017703;0,9447304663840097;1,035423197492163
2023-03-29;Convergents + Mobile;ORANGE AC;6181,111111111111;5480,116367;5867,0;5717,0;560,4538483036027;0,9491820959913715;0,9744332708368842;0,9249146144166817
2023-03-30;Convergents + Mobile;ORANGE AC;5615,555555555556;4849,456627;5465,0;5244,0;544,7542719024018;0,973189552829442;0,9595608417200366;0,9338345864661654
2023-03-31;Convergents + Mobile;ORANGE AC;5676,666666666667;4762,829252;5317,0;4989,0;555,0602118790064;0,9366412213740457;0,9383110776753808;0,8788608338226659
2023-04-01;Convergents + Mobile;ORANGE AC;3476,666666666667;3015,502135;3135,0;3057,0;564,1089493948315;0,9017257909875359;0,9751196172248804;0,8792905081495684
2023-04-02;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-04-03;Convergents + Mobile;ORANGE AC;6917,777777777778;5697,710556;7039,0;6628,0;551,6716539819005;1,0175232894314166;0,9416110242932235;0,9581111468037262
2023-04-04;Convergents + Mobile;ORANGE AC;6001,111111111111;5561,103279;5081,0;4974,0;551,9137984519501;0,8466765413812257;0,9789411533162763;0,828846509905573
2023-04-05;Convergents + Mobile;ORANGE AC;6164,444444444444;5702,087292;6202,0;5866,0;572,3563225196045;1,0060922855082912;0,945823927765237;0,9515861571737563
2023-04-06;Convergents + Mobile;ORANGE AC;5596,666666666667;4949,150321;6338,0;5845,0;558,3974386511469;1,132459797498511;0,9222152098453771;1,0443716497915425
2023-04-07;Convergents + Mobile;ORANGE AC;5680,000000000001;4753,099264;4627,0;4540,0;577,769684352993;0,8146126760563379;0,9811973200778042;0,7992957746478871
2023-04-08;Convergents + Mobile;ORANGE AC;3402,222222222222;3009,341763;2828,0;2787,0;589,0133061648745;0,8312214239059439;0,9855021216407355;0,8191704768125408
2023-04-09;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-04-10;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-04-11;Convergents + Mobile;ORANGE AC;7650,0;6672,892219;7437,0;7083,0;558,8231134471569;0,972156862745098;0,9524001613553852;0,9258823529411765
2023-04-12;Convergents + Mobile;ORANGE AC;6873,333333333333;7136,239273;6525,0;6419,0;563,0698242603551;0,9493210475266731;0,9837547892720306;0,9338991270611058
2023-04-13;Convergents + Mobile;ORANGE AC;6223,333333333334;6268,860243;7325,0;6972,0;562,125040349871;1,1770219603642205;0,9518088737201366;1,120299946438136
2023-04-14;Convergents + Mobile;ORANGE AC;6371,111111111112;6179,517816;6187,0;6109,0;562,0150066295629;0,9711021974189046;0,9873929206400517;0,9588594349494243
2023-04-15;Convergents + Mobile;ORANGE AC;3898,8888888888887;3815,47581;3951,0;3913,0;601,9353723230258;1,0133656312339698;0,9903821817261452;1,0036192647477915
2023-04-16;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-04-17;Convergents + Mobile;ORANGE AC;6905,555555555556;5534,480625;7284,0;7129,0;575,25725042783;1,0548028962188254;0,9787204832509611;1,032357200321802
2023-04-18;Convergents + Mobile;ORANGE AC;6351,111111111111;5441,844689;5741,0;5588,0;569,1066418962433;0,9039363191042686;0,9733495906636475;0,8798460461861441
2023-04-19;Convergents + Mobile;ORANGE AC;6514,444444444444;5529,195365;5865,0;5813,0;586,1413020127301;0,9003070100631076;0,9911338448422847;0,8923247484223095
2023-04-20;Convergents + Mobile;ORANGE AC;5920,0;4892,887544;6120,0;5656,0;585,4637085365854;1,0337837837837838;0,9241830065359478;0,9554054054054054
2023-04-21;Convergents + Mobile;ORANGE AC;5985,555555555556;4770,613243;5627,0;5521,0;577,4193146350299;0,9400965286801559;0,9811622534210058;0,9223872285130871
2023-04-22;Convergents + Mobile;ORANGE AC;3737,777777777778;3020,430433;3268,0;3224,0;549,4440390077519;0,8743162901307967;0,9865361077111383;0,8625445897740784
2023-04-23;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-04-24;Convergents + Mobile;ORANGE AC;7081,111111111111;6078,304329;6794,0;6607,0;673,0936085286556;0,9594539463361054;0,9724757138651752;0,9330456613839636
2023-04-25;Convergents + Mobile;ORANGE AC;6540,0;5917,54536;5841,0;5787,0;586,5867580600622;0,8931192660550459;0,9907550077041603;0,884862385321101
2023-04-26;Convergents + Mobile;ORANGE AC;6712,222222222223;6070,46682;6221,0;6117,0;581,1328903415591;0,9268167521933455;0,9832824304774153;0,9113226287038569
2023-04-27;Convergents + Mobile;ORANGE AC;6093,333333333334;5349,574157;5234,0;5174,0;576,2033759891913;0,8589715536105031;0,988536492166603;0,849124726477024
2023-04-28;Convergents + Mobile;ORANGE AC;6240,0;5231,577275;5207,0;5065,0;569,7630513417522;0,8344551282051282;0,9727290186287689;0,811698717948718
2023-04-29;Convergents + Mobile;ORANGE AC;3811,1111111111113;3273,321921;3502,0;3442,0;592,4827229808251;0,9188921282798833;0,9828669331810395;0,9031486880466472
2023-04-30;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-01;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-02;Convergents + Mobile;ORANGE AC;6978,888888888889;7449,368457;7944,0;7383,0;574,1206813540962;1,1382900811972616;0,929380664652568;1,0579047922305365
2023-05-03;Convergents + Mobile;ORANGE AC;6375,555555555556;7533,997502;6057,0;5963,0;565,8661915143384;0,9500348553502963;0,9844807660558033;0,9352910421749738
2023-05-04;Convergents + Mobile;ORANGE AC;5734,444444444444;6566,894128;5510,0;5438,0;568,2812533002391;0,9608602983917846;0,9869328493647913;0,9483045921333075
2023-05-05;Convergents + Mobile;ORANGE AC;5848,888888888889;6473,304188;6333,0;6260,0;563,2272452673584;1,0827697568389059;0,9884730775303964;1,0702887537993921
2023-05-06;Convergents + Mobile;ORANGE AC;3554,444444444445;4066,801212;3496,0;3426,0;598,1584222935512;0,9835573616755235;0,9799771167048055;0,9638637074085651
2023-05-07;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-08;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-09;Convergents + Mobile;ORANGE AC;6600,0;7041,981119;8100,0;7708,0;560,1989261219196;1,2272727272727273;0,951604938271605;1,167878787878788
2023-05-10;Convergents + Mobile;ORANGE AC;6018,888888888889;7279,920679;7384,0;7153,0;567,1586104990913;1,2268045043381945;0,9687161430119177;1,1884253276721433
2023-05-11;Convergents + Mobile;ORANGE AC;5414,444444444444;6291,331347;6228,0;6168,0;572,4148596465628;1,1502565154935358;0,9903660886319846;1,1391750461727888
2023-05-12;Convergents + Mobile;ORANGE AC;5522,222222222223;6201,668667;5641,0;5593,0;591,8121555833483;1,0215090543259557;0,9914908704130473;1,0128169014084507
2023-05-13;Convergents + Mobile;ORANGE AC;3355,5555555555557;3926,478174;3379,0;3328,0;578,8951254807693;1,0069867549668874;0,9849067771530039;0,9917880794701986
2023-05-14;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-15;Convergents + Mobile;ORANGE AC;5091,111111111111;6827,146991;5988,0;5942,0;575,7498600672834;1,1761676123963334;0,9923179692718771;1,167132256656482
2023-05-16;Convergents + Mobile;ORANGE AC;4432,222222222223;6558,492941;4837,0;4797,0;556,7881813047103;1,0913261469039859;0,9917304114120322;1,082301328653798
2023-05-17;Convergents + Mobile;ORANGE AC;4513,333333333334;6808,953664;4788,0;4757,0;585,1163851175482;1,0608567208271786;0,9935254803675856;1,0539881831610043
2023-05-18;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-19;Convergents + Mobile;ORANGE AC;4527,777777777778;5913,070025;5047,0;4640,0;554,5927238352027;1,1146748466257668;0,9193580344759263;1,0247852760736196
2023-05-20;Convergents + Mobile;ORANGE AC;2660,0;3743,756986;2788,0;2759,0;573,9934788329105;1,0481203007518798;0,9895982783357246;1,037218045112782
2023-05-21;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-22;Convergents + Mobile;ORANGE AC;5117,777777777778;5548,787893;5873,0;5825,0;547,6893320686695;1,1475683890577506;0,9918270049378511;1,1381893182805036
2023-05-23;Convergents + Mobile;ORANGE AC;4447,777777777778;5441,909153;4758,0;4734,0;572,46416121673;1,069747689233075;0,9949558638083228;1,0643517361978514
2023-05-24;Convergents + Mobile;ORANGE AC;4596,666666666667;5599,341152;5046,0;5023,0;546,5734455504678;1,0977519941986946;0,9954419342053111;1,092748368382886
2023-05-25;Convergents + Mobile;ORANGE AC;4186,666666666667;4932,666315;4508,0;4434,0;541,7755938724938;1,0767515923566877;0,9835847382431233;1,059076433121019
2023-05-26;Convergents + Mobile;ORANGE AC;4210,0;4862,367032;4804,0;4739,0;543,5823303605313;1,1410926365795724;0,9864696086594504;1,1256532066508314
2023-05-27;Convergents + Mobile;ORANGE AC;2548,888888888889;3053,477133;2798,0;2742,0;532,5662383296864;1,0977332170880556;0,9799857040743388;1,0757628596338273
2023-05-28;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-29;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-05-30;Convergents + Mobile;ORANGE AC;5554,444444444444;6549,534887;6433,0;6034,0;549,3948573558648;1,1581716343268653;0,9379760609357998;1,0863372674534908
2023-05-31;Convergents + Mobile;ORANGE AC;4815,555555555556;6740,782054;5545,0;5492,0;562,3054058994902;1,1514766958929394;0,9904418394950406;1,1404706968158744
2023-06-01;Convergents + Mobile;ORANGE AC;4248,888888888889;6603,910023;4800,0;4670,0;565,2068534674657;1,1297071129707112;0,9729166666666667;1,099110878661088
2023-06-02;Convergents + Mobile;ORANGE AC;4310,0;6385,461855;3971,0;3936,0;585,9551231707318;0,9213457076566125;0,9911860992193402;0,9132250580046404
2023-06-03;Convergents + Mobile;ORANGE AC;2543,3333333333335;4008,618489;2338,0;2319,0;594,1116076326002;0,9192660550458716;0,9918733960650128;0,9117955439056356
2023-06-04;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-06-05;Convergents + Mobile;ORANGE AC;4890,0;5808,597359;5186,0;5117,0;552,8487550713309;1,0605316973415133;0,9866949479367528;1,0464212678936606
2023-06-06;Convergents + Mobile;ORANGE AC;4246,666666666667;5672,44711;5202,0;5120,0;539,8716825985174;1,224960753532182;0,9842368319876971;1,205651491365777
2023-06-07;Convergents + Mobile;ORANGE AC;4365,555555555556;5866,396343;4724,0;4627,0;555,7487074497949;1,0821074064647493;0,9794665537679932;1,059888012216849
2023-06-08;Convergents + Mobile;ORANGE AC;3965,5555555555557;5233,642564;4096,0;4026,0;555,7776330849479;1,0328943681703557;0,98291015625;1,0152423648080695
2023-06-09;Convergents + Mobile;ORANGE AC;4016,666666666667;5137,077034;3912,0;3862,0;571,4066059280352;0,9739419087136929;0,9872188139059305;0,9614937759336099
2023-06-10;Convergents + Mobile;ORANGE AC;2500,0;3213,490744;2249,0;2229,0;545,2229187079408;0,8996;0,9911071587372166;0,8916
2023-06-11;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-06-12;Convergents + Mobile;ORANGE AC;4977,777777777778;5724,468579;4921,0;4883,0;551,8918518427517;0,9885937499999999;0,9922779922779923;0,9809598214285713
2023-06-13;Convergents + Mobile;ORANGE AC;4320,0;5568,098351;3702,0;3657,0;544,6179749521466;0,8569444444444444;0,9878444084278768;0,8465277777777778
2023-06-14;Convergents + Mobile;ORANGE AC;4444,444444444444;5780,737131;4302,0;4242,0;539,8828547916177;0,96795;0,9860529986052998;0,95445
2023-06-15;Convergents + Mobile;ORANGE AC;4035,5555555555557;5097,645889;3709,0;3658,0;559,7628864680153;0,9190803964757709;0,9862496629819358;0,906442731277533
2023-06-16;Convergents + Mobile;ORANGE AC;4086,6666666666665;5014,006953;4160,0;4105,0;570,7979364012662;1,0179445350734095;0,9867788461538461;1,0044861337683524
2023-06-17;Convergents + Mobile;ORANGE AC;2545,5555555555557;3174,530908;1959,0;1928,0;543,0726675311204;0,7695766041030118;0,9841755997958141;0,7573985159319074
2023-06-18;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-06-19;Convergents + Mobile;ORANGE AC;5041,111111111111;6120,368719;5121,0;5073,0;560,5974423872366;1,015847476305929;0,9906268306971294;1,0063257659246196
2023-06-20;Convergents + Mobile;ORANGE AC;4377,777777777777;5939,385798;4060,0;4020,0;590,5450941293533;0,9274111675126905;0,9901477832512315;0,918274111675127
2023-06-21;Convergents + Mobile;ORANGE AC;4502,222222222223;6122,114286;4623,0;4549,0;577,478068828314;1,0268262586377097;0,9839930780878218;1,0103899308983217
2023-06-22;Convergents + Mobile;ORANGE AC;4090,0;5417,572495;3452,0;3398,0;570,7956371285673;0,8440097799511003;0,9843568945538818;0,8308068459657701
2023-06-23;Convergents + Mobile;ORANGE AC;4138,888888888889;5320,583315;3612,0;3571,0;581,9689961398601;0,8726979865771812;0,9886489479512736;0,8627919463087249
2023-06-24;Convergents + Mobile;ORANGE AC;2581,1111111111113;3368,634376;1958,0;1931,0;554,4682848783013;0,758588032716315;0,9862104187946884;0,7481274214377959
2023-06-25;Convergents + Mobile;ORANGE AC;0,0;0,0;0,0;0,0;;;;
2023-06-26;Convergents + Mobile;ORANGE AC;5255,555555555556;4586,001137;4548,0;4476,0;562,2360603794642;0,865369978858351;0,9841688654353562;0,8516701902748415
2023-06-27;Convergents + Mobile;ORANGE AC;4563,333333333334;4480,018408;3923,0;3804,0;533,3519757679181;0,8596785975164353;0,9696660718837624;0,8336011687363037
2023-06-28;Convergents + Mobile;ORANGE AC;4691,111111111111;4631,817578;5054,0;4731,0;535,3638899196957;1,0773567029843676;0,9360902255639098;1,0085030791094267
2023-06-29;Convergents + Mobile;ORANGE AC;4260,0;4064,646117;3791,0;3618,0;524,1858774461028;0,889906103286385;0,9543656027433395;0,8492957746478873
2023-06-30;Convergents + Mobile;ORANGE AC;4316,666666666667;4006,717669;4638,0;4372,0;526,1575961344922;1,0744401544401543;0,9426476929711083;1,0128185328185328
